# task_type, task_subtype, depth, count
sort none 0 13
self density 0 11
self density 2 3
self density 3 7
self density 4 16
self force 0 11
self force 2 3
self force 3 7
self force 4 16
self grav 0 11
self grav 2 5
pair density 0 43
pair density 1 2
pair density 2 13
pair density 3 58
pair density 4 87
pair density 5 1
pair density 6 25
pair force 0 43
pair force 1 2
pair force 2 13
pair force 3 58
pair force 4 87
pair force 5 1
pair force 6 25
pair grav 0 50
pair grav 1 12
pair grav 2 75
init_grav none 0 13
init_grav_out none 0 13
init_grav_out none 1 10
init_grav_out none 2 12
ghost_in none 0 13
ghost none 0 5
ghost none 1 6
ghost none 2 8
ghost none 3 21
ghost none 4 43
ghost none 5 336
ghost none 6 384
ghost_out none 0 13
drift_part none 0 13
drift_gpart none 0 13
drift_gpart_out none 0 13
drift_gpart_out none 1 10
drift_gpart_out none 2 12
hydro_end_force none 0 13
kick1 none 0 13
kick2 none 0 13
timestep none 0 13
collect none 0 13
grav_long_range none 0 13
grav_down_in none 0 13
grav_down_in none 1 10
grav_down_in none 2 12
grav_down none 0 13
grav_end_force none 0 13
