type,pair,radius_key,occurrence,time_s,time_hr_after_36h,absolute_simulation_time_hr,separation_m,after_first_counterfactual_contact,threshold_m
counterfactual_pericenter,mars_secondary,point_mass,1,22220.203828282465,6.1722788411895735,42.17227884118957,8945668.916198676,0,
counterfactual_pericenter,mars_secondary,point_mass,2,83706.08749579199,23.25169097105333,59.25169097105333,6132631.796206856,0,
counterfactual_contact,earth_secondary,rmax,1,103987.44079970614,28.885400222140593,64.88540022214059,8389383.610212075,0,8389383.610212106
counterfactual_contact,earth_secondary,r99,1,104043.67704285945,28.901021400794292,64.90102140079429,7885006.110012362,1,7885006.1100122575
counterfactual_contact,earth_secondary,r95,1,104063.90077190021,28.906639103305615,64.90663910330562,7700031.242625503,1,7700031.242625451
counterfactual_pericenter,earth_secondary,point_mass,1,104670.3935494259,29.075109319284973,65.07510931928498,1060616.3487433072,1,
counterfactual_pericenter,mars_secondary,point_mass,3,107665.4812236842,29.907078117690055,65.90707811769005,27487767.404266935,1,
counterfactual_contact,earth_mars,rmax,1,112137.63416601619,31.149342823893384,67.14934282389339,11250786.892309004,1,11250786.892308999
counterfactual_contact,earth_mars,r99,1,112442.0794472004,31.23391095755567,67.23391095755566,10354251.521104561,1,10354251.521104556
counterfactual_contact,earth_mars,r95,1,112595.13314124897,31.276425872569156,67.27642587256915,10001716.456173964,1,10001716.45617396
counterfactual_pericenter,earth_mars,point_mass,1,113104.64446452756,31.4179567957021,67.4179567957021,9458665.718681589,1,
