radius_key,dynamical_efficiency,sample,outcome,first_contact_time_hr_after_36h,tidal_passage_count,equilibrium_ever_active,outer_position_perturbation_m,outer_velocity_perturbation_m_s,inner_position_perturbation_m,inner_velocity_perturbation_m_s
r95,0.0,0,earth_secondary_contact,29.081756541138223,2,0,266911.2745088388,32.980353223859396,50037.386229439886,12.62100978451081
r95,0.0,1,earth_secondary_contact,28.600238454388972,2,1,142099.79477547784,39.13652235662996,59946.1683485837,23.692704487928317
r95,0.0,2,earth_secondary_contact,28.878366655540614,2,0,112980.31964841767,21.65518151875099,73244.91441807665,16.56514193406026
r95,0.0,3,earth_secondary_contact,29.24071761288744,2,0,315207.1854821795,35.82077443861536,58341.51469743168,24.26126951975948
r95,0.0,4,earth_secondary_contact,29.115912771618934,2,0,437222.4176170914,4.1032728720539735,98603.88692556912,16.18317502559737
r95,0.0,5,earth_secondary_contact,29.173145908517675,2,0,67192.13487563617,22.16982555120182,62351.14202285223,5.832818521813881
r95,0.0,6,earth_secondary_contact,28.3351087975166,2,1,130323.74372763422,46.86575674002584,142896.84619933247,12.190669805120232
r95,0.0,7,earth_secondary_contact,29.135205409282786,2,0,90040.29382842888,37.14101378295872,80376.24039256264,15.314812614163932
r95,0.0,8,earth_secondary_contact,29.09600719734878,2,0,212679.49068287062,54.92559360133452,24995.410108921784,8.005688173731098
r95,0.0,9,earth_secondary_contact,28.70872801521422,2,1,111883.6873485778,40.672888772102354,74924.65400291864,11.782382944805056
r95,0.0,10,earth_secondary_contact,28.70325133014504,2,1,214950.5045388596,43.068227713138114,90999.6519771366,15.902587628848854
r95,0.0,11,earth_secondary_contact,29.022352734531747,2,0,233973.9920960704,29.120854930092783,27671.602150507908,13.971643881974284
r95,0.0,12,earth_secondary_contact,29.019038807429382,2,0,111403.03092837756,16.993087492196956,101818.13862449926,21.58012580690073
r95,0.0,13,earth_secondary_contact,29.18864705018147,2,0,97947.28536535862,36.14886701432488,28036.398259574045,17.847719047335094
r95,0.0,14,earth_secondary_contact,29.089396134246908,2,0,168313.17740656083,27.946283965519402,82470.91433200857,22.581217061663953
r95,0.0,15,earth_secondary_contact,28.923108915244274,2,0,200179.46142495627,35.714567381340736,58159.23928277778,8.982636502185912
r95,0.0,16,earth_secondary_contact,28.80205758078515,2,0,50477.09610541816,50.714802215082514,49614.74693345509,25.646151364656774
r95,0.0,17,earth_secondary_contact,29.670215939588324,2,0,195292.1903103024,60.56239135099013,7860.069845788783,16.359138064314493
r95,0.0,18,earth_secondary_contact,29.165683726667652,2,0,98207.76035929858,19.494500596138035,127665.03446933579,11.154161353377635
r95,0.0,19,earth_secondary_contact,28.108979427140802,2,1,219219.25058272702,66.67026151489455,64684.07027815238,26.63795432124396
r95,0.0,20,earth_secondary_contact,29.42398613696747,2,0,195451.0495711207,32.2352729515042,107523.93846440924,27.261692512358685
r95,0.0,21,earth_secondary_contact,28.235738557883977,2,1,119237.6527242448,66.06697607424826,96742.86304261065,17.068072352666118
r95,0.0,22,earth_secondary_contact,29.028866293054797,2,0,179727.97926133545,32.7965535774848,65766.80966947554,13.608380293286094
r95,0.0,23,earth_secondary_contact,28.831199452111615,2,1,91564.26639962911,46.035537388073465,58132.1955619765,9.299754602913417
r95,0.0,24,earth_secondary_contact,28.677033609247566,2,1,207867.58692028397,44.09740903357435,107792.91479662708,22.08825205408282
r95,0.0,25,earth_secondary_contact,29.32674361804746,2,0,218632.58363895776,39.24767116513882,93548.21922696901,14.657361594883824
r95,0.0,26,earth_secondary_contact,28.87039778257912,2,0,27852.19109334521,29.172433065491337,104521.98127598285,12.379115931319193
r95,0.0,27,earth_secondary_contact,28.94090600950193,2,0,75116.13301415453,32.12190372707429,48426.42096933376,17.290879088896762
r95,0.0,28,earth_secondary_contact,28.713171388964692,2,0,34004.35809727637,24.000525115616295,98401.0676495183,21.521485349364955
r95,0.0,29,earth_secondary_contact,28.67424869361771,2,1,172551.2799188573,20.845444024298843,104609.50881666438,19.176723399843272
r95,0.0,30,earth_secondary_contact,29.333607335188276,2,0,46044.2094153537,38.886302290249105,155920.00058598624,12.477906795444017
r95,0.0,31,earth_secondary_contact,29.07500092750857,2,0,96462.81777278292,24.98665765957347,96575.24390479586,16.3841503058914
r95,0.001,0,earth_secondary_contact,29.0817607968162,2,0,266911.2745088388,32.980353223859396,50037.386229439886,12.62100978451081
r95,0.001,1,earth_secondary_contact,28.6002403083326,2,1,142099.79477547784,39.13652235662996,59946.1683485837,23.692704487928317
r95,0.001,2,earth_secondary_contact,28.878369919879134,2,0,112980.31964841767,21.65518151875099,73244.91441807665,16.56514193406026
r95,0.001,3,earth_secondary_contact,29.24071923978477,2,0,315207.1854821795,35.82077443861536,58341.51469743168,24.26126951975948
r95,0.001,4,earth_secondary_contact,29.115914002913872,2,0,437222.4176170914,4.1032728720539735,98603.88692556912,16.18317502559737
r95,0.001,5,earth_secondary_contact,29.173148218470057,2,0,67192.13487563617,22.16982555120182,62351.14202285223,5.832818521813881
r95,0.001,6,earth_secondary_contact,28.335111447591938,2,1,130323.74372763422,46.86575674002584,142896.84619933247,12.190669805120232
r95,0.001,7,earth_secondary_contact,29.135207922316347,2,0,90040.29382842888,37.14101378295872,80376.24039256264,15.314812614163932
r95,0.001,8,earth_secondary_contact,29.096008922675114,2,0,212679.49068287062,54.92559360133452,24995.410108921784,8.005688173731098
r95,0.001,9,earth_secondary_contact,28.70873100276499,2,1,111883.6873485778,40.672888772102354,74924.65400291864,11.782382944805056
r95,0.001,10,earth_secondary_contact,28.703252841168897,2,1,214950.5045388596,43.068227713138114,90999.6519771366,15.902587628848854
r95,0.001,11,earth_secondary_contact,29.022355640248044,2,0,233973.9920960704,29.120854930092783,27671.602150507908,13.971643881974284
r95,0.001,12,earth_secondary_contact,29.01904399178469,2,0,111403.03092837756,16.993087492196956,101818.13862449926,21.58012580690073
r95,0.001,13,earth_secondary_contact,29.188649619766778,2,0,97947.28536535862,36.14886701432488,28036.398259574045,17.847719047335094
r95,0.001,14,earth_secondary_contact,29.089397734273717,2,0,168313.17740656083,27.946283965519402,82470.91433200857,22.581217061663953
r95,0.001,15,earth_secondary_contact,28.92311090793866,2,0,200179.46142495627,35.714567381340736,58159.23928277778,8.982636502185912
r95,0.001,16,earth_secondary_contact,28.802062625561305,2,0,50477.09610541816,50.714802215082514,49614.74693345509,25.646151364656774
r95,0.001,17,earth_secondary_contact,29.670220247804355,2,0,195292.1903103024,60.56239135099013,7860.069845788783,16.359138064314493
r95,0.001,18,earth_secondary_contact,29.16568539858304,2,0,98207.76035929858,19.494500596138035,127665.03446933579,11.154161353377635
r95,0.001,19,earth_secondary_contact,28.108981057139818,2,1,219219.25058272702,66.67026151489455,64684.07027815238,26.63795432124396
r95,0.001,20,earth_secondary_contact,29.423986837190036,2,0,195451.0495711207,32.2352729515042,107523.93846440924,27.261692512358685
