t_s,t_hr_after_36h,equilibrium_active,separation_earth_mars_m,q_osc_earth_mars_m,e_osc_earth_mars,separation_mars_secondary_m,q_osc_mars_secondary_m,e_osc_mars_secondary,separation_earth_secondary_m,q_osc_earth_secondary_m,e_osc_earth_secondary
0.0,0.0,,160981249.22268078,8442662.07687382,0.9005626589582881,21170016.28553825,8440940.858503347,0.45388749092049135,164925058.1763423,45354012.30637596,0.6352692921062016
300.0,0.08333333333333333,,160948131.68239307,8410935.306431176,0.9009172774969082,21077831.5208037,8447677.749131368,0.453674358923209,165145735.33895278,47891234.898618005,0.6196799269306086
600.0,0.16666666666666666,,160913675.93745637,8379059.829458471,0.9012736106357501,20982275.245629713,8454787.247491514,0.45344788295370336,165363647.25132188,50550819.37646332,0.6037604839609299
900.0,0.25,,160877885.13188684,8347030.971969358,0.9016317068133757,20883345.588574715,8462256.877839634,0.45320868111103846,165578713.66742882,53339161.05742299,0.5875222069619387
1200.0,0.3333333333333333,,160840762.50802115,8314844.107974426,0.901991613824221,20781040.962360453,8470073.738981979,0.4529573872741819,165790851.88885438,56262912.01372587,0.5709799624628986
1500.0,0.4166666666666667,,160802311.41444793,8282494.673407937,0.9023533786475723,20675360.099999826,8478224.505449057,0.4526946502618424,165999976.58012542,59328929.978157565,0.5541530884279066
1800.0,0.5,,160762535.31439233,8249978.181908584,0.9027170472546223,20566302.094682477,8486695.429035874,0.452421132928841,166205999.5737856,62544199.044536345,0.537066448685343
2100.0,0.5833333333333334,,160721437.7945874,8217290.242689018,0.9030826643908457,20453866.44378691,8495472.340789424,0.45213751119334916,166408829.66436797,65915711.69166603,0.519751745908076
2400.0,0.6666666666666666,,160679022.57466853,8184426.580757767,0.903450273330591,20338053.097427554,8504540.6535271,0.4518444729891281,166608372.39037728,69450298.14754383,0.5022491587901907
2700.0,0.75,,160635293.51713124,8151383.059791424,0.9038199156003962,20218862.511989307,8513885.364975207,0.451542717136585,166804529.8033253,73154384.60543711,0.4846093836906456
3000.0,0.8333333333333334,,160590254.63789296,8118155.707991813,0.9041916306670874,20096295.709152833,8523491.061624063,0.45123295212605563,166997200.22278902,77033656.21046714,0.4668961761756085
3300.0,0.9166666666666666,,160543910.11750638,8084740.7473067865,0.9045654555862255,19970354.340967428,8533341.923397401,0.45091589480664435,167186277.97638088,81092594.16685864,0.4491895005578194
3600.0,1.0,,160496264.31307003,8051134.6264410345,0.9049414246058894,19841040.76159194,8543421.729245508,0.45059226897335514,167371653.1234365,85333849.3659724,0.43158939931419493
3900.0,1.0833333333333333,,160447321.77089077,8017334.058139615,0.9053195687201415,19708358.10639145,8553713.863772374,0.45026280384521766,167553211.16113386,89757409.1878716,0.41422067685635583
4200.0,1.1666666666666667,,160397087.23995203,7983336.061289104,0.9056999151657844,19572310.37915549,8564201.325017612,0.4499282324266249,167730832.711659,94359513.0273543,0.39723843150010885
4500.0,1.25,,160345565.68624848,7949138.008453255,0.9060824868551821,19432902.548289213,8574866.733519059,0.44958928974390056,167904393.18892977,99131282.25625153,0.38083432916903137
4800.0,1.3333333333333333,,160292762.3080507,7914737.679541164,0.9064673017369688,19290140.65292448,8585692.342788745,0.4492467109488669,168073762.44327405,104057063.13464777,0.3652432382443476
5100.0,1.4166666666666667,,160238682.55216745,7880133.3223983925,0.9068543720753929,19144031.920006312,8596660.051343966,0.44890122928087656,168238804.38234404,109112553.60737275,0.35074937061821415
5400.0,1.5,,160183332.13127932,7845323.72121702,0.9072437036378085,18994584.893529665,8607751.41644263,0.44855357387857775,168399376.56641874,114262916.75875208,0.337690350735109
5700.0,1.5833333333333333,,160126717.04241958,7810308.273780063,0.9076352947784376,18841809.57723557,8618947.669678437,0.44820446743259423,168555329.77611482,119461285.24987294,0.32645671152317046
6000.0,1.6666666666666667,,160068843.5866858,7775087.078692235,0.908029135404931,18685717.592226904,8630229.734603256,0.4478546236700473,168706507.55038908,124648304.1972721,0.31748348824041395
6300.0,1.75,,160009718.3902679,7739661.033903782,0.9084252058124502,18526322.35113144,8641578.246550273,0.44750474466190515,168852745.6925693,129753534.9509439,0.31123054592321936
6600.0,1.8333333333333333,,159949348.42688462,7704031.948011048,0.9088234753679413,18363639.250627913,8652973.574841753,0.4471555179441546,168993871.74200478,134699437.12019557,0.30815006588074334
6900.0,1.9166666666666667,,159887741.04172534,7668202.666017666,0.909223901024926,18197685.88436058,8664395.84757365,0.4468076134439653,169129704.4087767,139408033.9040577,0.3086439161888006
