radius_key,dynamical_efficiency,samples,dominant_outcome,dominant_fraction,median_first_contact_hr_after_36h,p05_first_contact_hr_after_36h,p95_first_contact_hr_after_36h,fraction_earth_mars_contact,fraction_earth_secondary_contact,fraction_mars_secondary_contact,fraction_secondary_roche_risk,fraction_secondary_stripped_by_earth,fraction_secondary_survives_point_mass,fraction_three_body_ejection_candidate,fraction_unresolved_no_contact
r95,0.0,32,earth_secondary_contact,1.0,29.020695770980566,28.29039218968192,29.374277795988913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
r95,0.001,32,earth_secondary_contact,1.0,29.020699816016368,28.290394316777505,29.374279011119636,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
r95,0.01,32,earth_secondary_contact,1.0,29.020736225236277,28.290413463927187,29.374289948482193,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
r95,0.1,32,earth_secondary_contact,1.0,29.021100703153806,28.290605261405567,29.37439943926014,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
r99,0.0,32,earth_secondary_contact,1.0,29.015194214284747,28.284594947947454,29.36834319613769,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
r99,0.001,32,earth_secondary_contact,1.0,29.015201451069608,28.284598707057487,29.368345401085016,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
r99,0.01,32,earth_secondary_contact,1.0,29.015266594320295,28.284632549247643,29.368365249468464,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
r99,0.1,32,earth_secondary_contact,1.0,29.015919232982988,28.28497198188263,29.368564115309606,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rmax,0.0,32,earth_secondary_contact,1.0,28.99987588128146,28.268509191565567,29.35188964879025,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rmax,0.001,32,earth_secondary_contact,1.0,28.999887406478138,28.2685151585066,29.35189324155679,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rmax,0.01,32,earth_secondary_contact,1.0,28.99999116238315,28.268568885621328,29.351925586222997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rmax,0.1,32,earth_secondary_contact,1.0,29.001031605157237,28.26910859907027,29.352250000683718,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
